clase,imagen,asim_vertical,asim_horizontal,asim_total,circularidad,hu_1,hu_2,hu_3,hu_4,compacidad,var_radial,dim_fractal,rgb_r_mean,rgb_r_std,rgb_r_skew,rgb_g_mean,rgb_g_std,rgb_g_skew,rgb_b_mean,rgb_b_std,rgb_b_skew,hsv_h_mean,hsv_h_std,hsv_h_skew,hsv_s_mean,hsv_s_std,hsv_s_skew,hsv_v_mean,hsv_v_std,hsv_v_skew,lab_l_mean,lab_l_std,lab_l_skew,lab_a_mean,lab_a_std,lab_a_skew,lab_b__mean,lab_b__std,lab_b__skew,color_entropia_L,colores_dominantes,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,glcm_entropy,lbp_entropy,lbp_energy,zona_int_L_mean,zona_int_L_std,zona_int_a_mean,zona_int_a_std,zona_int_b_mean,zona_int_b_std,zona_anular_L_mean,zona_anular_L_std,zona_anular_a_mean,zona_anular_a_std,zona_anular_b_mean,zona_anular_b_std,zona_piel_L_mean,zona_piel_L_std,zona_piel_a_mean,zona_piel_a_std,zona_piel_b_mean,zona_piel_b_std,ratio_int_anular_L,ratio_lesion_piel_L,ratio_int_anular_a,ratio_lesion_piel_a,ratio_int_anular_b,ratio_lesion_piel_b,grad_borde_mean,grad_borde_std,grad_borde_max,indice_abrupticidad,heterog_cv_cuadrantes,heterog_rango_cuadrantes,heterog_var_local_mean,heterog_var_local_std
nv,ISIC_0024309,0.5868,0.4961,0.5414,2.7624,3.1227,7.4126,9.8398,9.9978,2.7624,0.208,0.9797,84.481,52.461,-0.124,63.711,41.895,-0.005,62.122,40.414,0.048,71.193,75.514,0.445,92.34,58.315,1.195,85.37,51.487,-0.107,73.304,47.893,-0.089,136.53,7.293,-0.107,132.316,6.687,-0.088,0.9076,6,9.16359,0.86391,0.81979,0.94145,2.3885,3.705,0.11446,49.032,42.519,136.185,7.698,129.706,6.387,94.583,41.837,136.833,6.903,134.605,6.078,175.161,29.489,132.304,6.32,134.627,5.767,0.5184,0.54,0.9953,1.0342,0.9636,0.9998,79.3698,48.5037,437.3854,1.6364,0.1689,0.4569,526.0798,389.3702
nv,ISIC_0024326,0.3867,0.6083,0.4975,1.2784,3.1926,7.8447,9.9925,9.9998,1.2784,0.0844,0.931,47.91,50.173,0.688,34.783,37.823,0.911,29.832,34.319,1.222,29.572,52.117,1.985,95.971,80.855,0.471,49.202,50.122,0.712,39.828,43.912,0.832,133.012,6.556,0.49,133.207,6.702,0.323,0.8072,5,2.82668,0.96735,0.95741,0.88728,0.6478,3.4227,0.15606,21.424,34.163,129.767,5.152,130.359,5.496,54.935,45.241,135.676,6.383,135.545,6.698,199.33,33.633,132.972,5.004,133.922,5.787,0.39,0.2756,0.9564,1.0203,0.9617,1.0121,105.8898,67.3538,476.2457,1.5721,0.1136,0.2669,548.504,623.8459
nv,ISIC_0024327,0.1099,0.3144,0.2121,1.6253,3.19,8.3653,9.952,9.9989,1.6253,0.0936,0.9595,82.319,52.429,0.263,63.874,42.731,0.513,52.594,39.049,0.981,30.71,47.732,2.236,105.51,57.151,0.557,83.257,51.61,0.287,72.08,47.902,0.319,134.101,6.677,0.002,137.695,7.221,-0.105,0.9226,5,16.20437,0.82541,0.78502,0.90788,2.9217,3.4646,0.15305,70.192,49.228,136.07,7.011,137.135,7.266,73.691,46.68,132.422,5.877,138.173,7.148,177.295,38.889,127.68,5.474,137.472,5.83,0.9525,0.4156,1.0275,1.0371,0.9925,1.0051,128.7556,94.9732,952.693,1.3557,0.1059,0.2525,936.0151,835.6614
nv,ISIC_0024335,0.1709,0.4038,0.2874,1.2973,3.1754,7.3651,9.9674,9.9994,1.2973,0.1314,1.0298,37.978,48.885,0.896,30.469,40.05,0.966,22.434,30.419,1.104,14.863,30.79,3.633,65.165,76.163,0.904,38.469,48.731,0.885,33.835,44.83,0.951,129.962,4.245,1.035,133.948,7.841,0.771,0.7314,6,1.63984,0.98497,0.98047,0.88764,0.3197,2.7542,0.3035,1.416,7.073,128.229,1.627,128.189,1.614,61.397,44.974,131.435,5.134,138.844,7.705,196.669,36.935,127.699,4.339,139.913,5.942,0.0231,0.3122,0.9756,1.0293,0.9233,0.9924,91.6456,56.6949,435.1666,1.6165,0.0792,0.1933,380.9662,471.6755
nv,ISIC_0024350,0.4696,0.7581,0.6138,1.3773,3.1918,7.8142,9.9994,10.0,1.3773,0.087,0.9568,55.088,47.113,0.371,49.925,44.444,0.428,39.34,36.482,0.602,31.128,41.434,2.289,84.712,68.636,0.884,56.891,47.445,0.34,53.495,48.25,0.398,128.342,5.325,0.223,135.049,6.447,0.29,0.8576,6,4.16187,0.94583,0.92697,0.92403,1.0549,3.4591,0.14455,21.933,31.584,130.463,4.59,131.348,5.272,83.003,42.07,126.36,5.201,138.51,5.446,188.608,28.332,125.08,3.801,135.769,5.292,0.2642,0.4401,1.0325,1.0102,0.9483,1.0202,72.456,48.4713,410.468,1.4948,0.2674,0.7068,399.3834,392.3946
nv,ISIC_0024354,0.0524,0.1631,0.1078,2.6588,3.08,6.5957,9.9764,9.9977,2.6588,0.279,0.9746,112.024,63.253,-0.035,87.021,47.867,-0.222,71.819,41.057,-0.034,40.046,52.912,1.633,107.411,59.995,0.586,115.7,60.533,-0.054,99.019,52.719,-0.308,136.061,12.664,-0.074,140.843,10.602,-0.198,0.943,6,19.31471,0.79667,0.75154,0.93918,3.3546,3.4135,0.16544,104.399,54.785,143.921,10.297,144.643,10.474,94.562,50.512,129.551,10.575,137.696,9.633,181.789,30.542,124.534,10.371,135.974,6.83,1.104,0.5202,1.1109,1.0403,1.0505,1.0127,114.2352,72.8425,600.2549,1.5682,0.1929,0.5084,864.8289,520.226
nv,ISIC_0024359,0.3567,0.2583,0.3075,3.9327,3.1316,8.0153,9.8793,9.9918,3.9327,0.2533,0.991,86.314,52.291,-0.028,64.506,40.548,0.196,55.686,38.249,0.408,32.032,51.338,2.08,106.543,59.116,0.889,87.407,50.998,0.01,74.115,46.347,0.06,135.816,7.878,-0.197,136.932,5.647,-0.304,0.92,6,12.5245,0.82746,0.77024,0.93278,2.9906,3.8165,0.09712,52.667,41.082,131.758,7.852,135.383,6.058,93.53,42.088,139.49,5.833,138.333,4.838,178.151,35.203,135.447,4.674,135.563,4.911,0.5631,0.525,0.9446,1.0298,0.9787,1.0204,104.8249,74.0994,736.2174,1.4147,0.0924,0.2474,603.5914,467.8582
nv,ISIC_0024428,0.3091,0.7667,0.5379,1.6357,3.1827,8.4994,9.9539,9.9993,1.6357,0.1101,0.9596,78.222,53.38,0.087,59.73,43.087,0.222,51.298,37.579,0.334,35.08,56.693,1.799,92.693,57.127,0.717,78.626,52.988,0.095,67.869,48.729,0.132,134.543,5.86,0.193,135.928,7.275,0.119,0.9037,6,8.84971,0.89993,0.87778,0.91708,1.7485,3.4638,0.14655,45.829,43.309,134.854,6.318,133.366,6.74,87.289,44.82,134.27,5.409,138.185,6.975,187.832,31.325,131.677,5.536,135.464,7.007,0.525,0.4647,1.0043,1.0197,0.9651,1.0201,110.7422,80.0167,902.4965,1.384,0.247,0.5835,729.962,505.3901
nv,ISIC_0024437,0.186,0.157,0.1715,1.2473,3.1902,7.6917,9.9907,9.9999,1.2473,0.0921,0.9915,21.991,37.157,1.575,21.564,35.712,1.449,20.444,34.521,1.545,25.498,45.042,1.669,40.85,70.977,1.886,25.207,39.993,1.378,23.04,38.675,1.474,128.17,3.779,0.648,128.8,5.437,1.004,0.6575,4,1.43428,0.98975,0.98783,0.80972,0.2095,2.1762,0.44132,0.013,0.3,128.017,0.336,128.004,0.126,45.712,43.958,128.321,5.309,129.584,7.577,198.736,39.831,128.655,4.104,126.978,7.275,0.0003,0.23,0.9976,0.9974,0.9878,1.0205,115.1266,76.3056,606.6465,1.5088,0.0392,0.1017,454.7323,627.8777
nv,ISIC_0024451,0.2697,0.1116,0.1907,3.4342,3.151,7.3825,9.9381,9.9972,3.4342,0.2024,0.9945,87.436,49.095,0.103,73.411,43.344,0.18,68.637,42.505,0.325,59.26,67.121,0.839,78.92,56.179,1.435,89.069,48.257,0.112,81.525,47.624,0.043,133.109,6.756,-0.116,133.087,6.192,0.094,0.9322,5,20.95014,0.72233,0.63657,0.92889,4.5208,3.5605,0.14207,56.17,42.678,133.85,6.575,133.302,6.226,103.588,40.13,132.464,6.844,132.899,6.156,164.786,28.545,131.092,7.201,131.422,5.305,0.5422,0.6286,1.0105,1.0105,1.003,1.0112,90.5422,68.3613,679.226,1.3245,0.1153,0.3179,616.6235,631.0157
